cluster_id,county_fips,county_name,tracts,cluster_share,limited_support_tracts,selected_tracts,interpretation_limit
C01,25001,Barnstable,12,0.017831,0,2,"support and concentration review, not county need or performance"
C01,25003,Berkshire,3,0.004458,0,0,"support and concentration review, not county need or performance"
C01,25005,Bristol,39,0.057949,0,1,"support and concentration review, not county need or performance"
C01,25007,Dukes,2,0.002972,0,0,"support and concentration review, not county need or performance"
C01,25009,Essex,81,0.120357,0,3,"support and concentration review, not county need or performance"
C01,25011,Franklin,4,0.005944,0,0,"support and concentration review, not county need or performance"
C01,25013,Hampden,14,0.020802,0,0,"support and concentration review, not county need or performance"
C01,25015,Hampshire,15,0.022288,0,1,"support and concentration review, not county need or performance"
C01,25017,Middlesex,192,0.28529,0,3,"support and concentration review, not county need or performance"
C01,25019,Nantucket,2,0.002972,0,0,"support and concentration review, not county need or performance"
C01,25021,Norfolk,77,0.114413,0,1,"support and concentration review, not county need or performance"
C01,25023,Plymouth,41,0.060921,0,1,"support and concentration review, not county need or performance"
C01,25025,Suffolk,105,0.156018,0,2,"support and concentration review, not county need or performance"
C01,25027,Worcester,86,0.127786,0,2,"support and concentration review, not county need or performance"
C02,25001,Barnstable,11,0.041199,0,0,"support and concentration review, not county need or performance"
C02,25003,Berkshire,8,0.029963,0,0,"support and concentration review, not county need or performance"
C02,25005,Bristol,21,0.078652,0,0,"support and concentration review, not county need or performance"
C02,25007,Dukes,1,0.003745,0,0,"support and concentration review, not county need or performance"
C02,25009,Essex,26,0.097378,0,0,"support and concentration review, not county need or performance"
C02,25011,Franklin,1,0.003745,0,0,"support and concentration review, not county need or performance"
C02,25013,Hampden,13,0.048689,0,0,"support and concentration review, not county need or performance"
C02,25015,Hampshire,10,0.037453,0,0,"support and concentration review, not county need or performance"
C02,25017,Middlesex,82,0.307116,0,0,"support and concentration review, not county need or performance"
C02,25019,Nantucket,1,0.003745,0,0,"support and concentration review, not county need or performance"
C02,25021,Norfolk,22,0.082397,0,0,"support and concentration review, not county need or performance"
C02,25023,Plymouth,16,0.059925,0,0,"support and concentration review, not county need or performance"
C02,25025,Suffolk,26,0.097378,0,0,"support and concentration review, not county need or performance"
C02,25027,Worcester,29,0.108614,0,0,"support and concentration review, not county need or performance"
C03,25001,Barnstable,12,0.036585,0,0,"support and concentration review, not county need or performance"
C03,25003,Berkshire,11,0.033537,0,0,"support and concentration review, not county need or performance"
C03,25005,Bristol,23,0.070122,0,0,"support and concentration review, not county need or performance"
C03,25007,Dukes,1,0.003049,0,0,"support and concentration review, not county need or performance"
C03,25009,Essex,31,0.094512,0,0,"support and concentration review, not county need or performance"
C03,25011,Franklin,7,0.021341,0,0,"support and concentration review, not county need or performance"
C03,25013,Hampden,23,0.070122,0,0,"support and concentration review, not county need or performance"
C03,25015,Hampshire,6,0.018293,0,0,"support and concentration review, not county need or performance"
C03,25017,Middlesex,71,0.216463,0,0,"support and concentration review, not county need or performance"
C03,25019,Nantucket,1,0.003049,0,0,"support and concentration review, not county need or performance"
C03,25021,Norfolk,40,0.121951,0,0,"support and concentration review, not county need or performance"
C03,25023,Plymouth,27,0.082317,0,0,"support and concentration review, not county need or performance"
C03,25025,Suffolk,45,0.137195,0,0,"support and concentration review, not county need or performance"
C03,25027,Worcester,30,0.091463,0,0,"support and concentration review, not county need or performance"
C04,25001,Barnstable,21,0.06383,0,0,"support and concentration review, not county need or performance"
C04,25003,Berkshire,18,0.054711,0,1,"support and concentration review, not county need or performance"
C04,25005,Bristol,47,0.142857,0,2,"support and concentration review, not county need or performance"
C04,25007,Dukes,0,0,0,0,"support and concentration review, not county need or performance"
C04,25009,Essex,35,0.106383,0,0,"support and concentration review, not county need or performance"
C04,25011,Franklin,7,0.021277,0,0,"support and concentration review, not county need or performance"
C04,25013,Hampden,54,0.164134,0,3,"support and concentration review, not county need or performance"
C04,25015,Hampshire,4,0.012158,0,0,"support and concentration review, not county need or performance"
C04,25017,Middlesex,9,0.027356,0,0,"support and concentration review, not county need or performance"
C04,25019,Nantucket,2,0.006079,0,0,"support and concentration review, not county need or performance"
C04,25021,Norfolk,14,0.042553,0,2,"support and concentration review, not county need or performance"
C04,25023,Plymouth,26,0.079027,0,2,"support and concentration review, not county need or performance"
C04,25025,Suffolk,46,0.139818,0,1,"support and concentration review, not county need or performance"
C04,25027,Worcester,46,0.139818,0,1,"support and concentration review, not county need or performance"
