tract_fips,expected_fictional_places,dry_run_records,processed_offer_tests,held_for_readiness_tests,language_access_failures,disability_access_failures,objection_tests,incident_tests,pause_tests,outcome_records,reconciled,interpretation_limit
25023543100,10,10,10,0,1,1,1,3,4,0,yes,"fictional software and governance tests, not people or observed services"
25009260600,10,10,10,0,1,0,1,3,3,0,yes,"fictional software and governance tests, not people or observed services"
25009217102,10,10,10,0,0,0,0,0,0,0,yes,"fictional software and governance tests, not people or observed services"
25027745100,10,10,10,0,0,0,1,0,1,0,yes,"fictional software and governance tests, not people or observed services"
25017334300,10,10,10,0,0,1,1,1,2,0,yes,"fictional software and governance tests, not people or observed services"
25023510501,10,10,10,0,0,0,1,0,1,0,yes,"fictional software and governance tests, not people or observed services"
25005650101,10,10,10,0,0,1,0,2,1,0,yes,"fictional software and governance tests, not people or observed services"
25015822500,10,10,10,0,0,0,0,1,0,0,yes,"fictional software and governance tests, not people or observed services"
25027730902,10,10,0,10,0,0,0,0,10,0,yes,"fictional software and governance tests, not people or observed services"
25017318200,10,10,10,0,0,0,0,3,1,0,yes,"fictional software and governance tests, not people or observed services"
25025180400,10,10,10,0,0,0,0,0,0,0,yes,"fictional software and governance tests, not people or observed services"
25025000807,10,10,10,0,0,0,0,0,0,0,yes,"fictional software and governance tests, not people or observed services"
25003900100,10,10,0,10,0,0,0,0,10,0,yes,"fictional software and governance tests, not people or observed services"
25005652200,10,10,10,0,0,0,1,0,1,0,yes,"fictional software and governance tests, not people or observed services"
25017333100,10,10,10,0,0,0,0,0,0,0,yes,"fictional software and governance tests, not people or observed services"
25009213100,10,10,10,0,0,0,0,2,1,0,yes,"fictional software and governance tests, not people or observed services"
25027757200,10,10,10,0,0,0,0,2,0,0,yes,"fictional software and governance tests, not people or observed services"
25005642500,10,10,0,10,0,0,0,0,10,0,yes,"fictional software and governance tests, not people or observed services"
25023508200,10,10,10,0,0,0,1,0,1,0,yes,"fictional software and governance tests, not people or observed services"
25025100200,10,10,0,10,0,0,1,0,10,0,yes,"fictional software and governance tests, not people or observed services"
25013802400,10,10,10,0,0,0,2,0,2,0,yes,"fictional software and governance tests, not people or observed services"
25013812201,10,10,10,0,0,0,1,1,1,0,yes,"fictional software and governance tests, not people or observed services"
25001012900,10,10,10,0,0,0,1,0,1,0,yes,"fictional software and governance tests, not people or observed services"
25021401202,10,10,10,0,1,0,1,1,2,0,yes,"fictional software and governance tests, not people or observed services"
25013800202,10,10,0,10,1,0,1,2,10,0,yes,"fictional software and governance tests, not people or observed services"
25021420301,10,10,10,0,0,0,0,1,0,0,yes,"fictional software and governance tests, not people or observed services"
25021441204,10,10,10,0,0,0,0,1,0,0,yes,"fictional software and governance tests, not people or observed services"
25001015001,10,10,10,0,0,0,0,0,0,0,yes,"fictional software and governance tests, not people or observed services"
