tract_fips,county_fips,county_name,selection_order,fictional_places,staff_readiness,high_travel_concern,high_burden_concern,language_access_ready,disability_access_ready,community_review_state,owner_condition,readiness_state,automatic_action,authority_limit
25023543100,25023,Plymouth,1,10,ready,no,no,1,1,ready_for_planning_review,none,ready_for_fictional_dry_run,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25009260600,25009,Essex,2,10,ready,no,no,1,1,ready_for_planning_review,none,ready_for_fictional_dry_run,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25009217102,25009,Essex,3,10,ready,yes,no,1,1,ready_for_planning_review,travel and modality revision,hold_for_human_revision,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25027745100,25027,Worcester,4,10,ready,no,no,1,1,ready_for_planning_review,none,ready_for_fictional_dry_run,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25017334300,25017,Middlesex,5,10,ready,no,no,1,1,ready_for_planning_review,none,ready_for_fictional_dry_run,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25023510501,25023,Plymouth,6,10,conditional,yes,no,1,1,ready_for_planning_review,travel and modality revision,hold_for_human_revision,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25005650101,25005,Bristol,7,10,ready,yes,no,1,1,ready_for_planning_review,travel and modality revision,hold_for_human_revision,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25015822500,25015,Hampshire,8,10,ready,yes,no,1,1,ready_for_planning_review,travel and modality revision,hold_for_human_revision,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25027730902,25027,Worcester,9,10,not_ready,yes,no,1,1,ready_for_planning_review,staff owner review; travel and modality revision,hold_for_human_revision,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25017318200,25017,Middlesex,10,10,conditional,no,no,1,1,ready_for_planning_review,none,ready_for_fictional_dry_run,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25025180400,25025,Suffolk,11,10,ready,no,no,1,1,ready_for_planning_review,none,ready_for_fictional_dry_run,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25025000807,25025,Suffolk,12,10,ready,yes,no,1,1,ready_for_planning_review,travel and modality revision,hold_for_human_revision,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25003900100,25003,Berkshire,13,10,not_ready,no,no,1,1,ready_for_planning_review,staff owner review,hold_for_human_revision,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25005652200,25005,Bristol,14,10,ready,no,no,1,1,ready_for_planning_review,none,ready_for_fictional_dry_run,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25017333100,25017,Middlesex,15,10,conditional,no,no,1,1,ready_for_planning_review,none,ready_for_fictional_dry_run,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25009213100,25009,Essex,16,10,ready,no,no,1,1,ready_for_planning_review,none,ready_for_fictional_dry_run,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25027757200,25027,Worcester,17,10,conditional,yes,no,1,1,ready_for_planning_review,travel and modality revision,hold_for_human_revision,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25005642500,25005,Bristol,18,10,not_ready,yes,no,1,1,ready_for_planning_review,staff owner review; travel and modality revision,hold_for_human_revision,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25023508200,25023,Plymouth,19,10,ready,yes,no,1,1,ready_for_planning_review,travel and modality revision,hold_for_human_revision,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25025100200,25025,Suffolk,20,10,not_ready,no,no,1,1,ready_for_planning_review,staff owner review,hold_for_human_revision,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25013802400,25013,Hampden,21,10,ready,no,no,1,1,ready_for_planning_review,none,ready_for_fictional_dry_run,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25013812201,25013,Hampden,22,10,ready,yes,no,1,1,ready_for_planning_review,travel and modality revision,hold_for_human_revision,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25001012900,25001,Barnstable,23,10,ready,yes,no,1,1,ready_for_planning_review,travel and modality revision,hold_for_human_revision,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25021401202,25021,Norfolk,24,10,conditional,no,no,1,1,ready_for_planning_review,none,ready_for_fictional_dry_run,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25013800202,25013,Hampden,25,10,not_ready,no,no,1,1,ready_for_planning_review,staff owner review,hold_for_human_revision,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25021420301,25021,Norfolk,26,10,ready,yes,no,1,1,ready_for_planning_review,travel and modality revision,hold_for_human_revision,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25021441204,25021,Norfolk,27,10,ready,no,no,1,1,ready_for_planning_review,none,ready_for_fictional_dry_run,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
25001015001,25001,Barnstable,28,10,conditional,no,yes,1,1,ready_for_planning_review,burden revision,hold_for_human_revision,no,"not real eligibility, outreach, allocation, service, or implementation readiness"
