tract_fips,county_fips,county_name,selection_order,fictional_places,cluster_id,staff_readiness,high_travel_concern,high_burden_concern,selection_preserved,tailoring_question_only,automatic_action,interpretation_limit
25023543100,25023,Plymouth,1,10,C04,ready,no,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25009260600,25009,Essex,2,10,C01,ready,no,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25009217102,25009,Essex,3,10,C01,ready,yes,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25027745100,25027,Worcester,4,10,C01,ready,no,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25017334300,25017,Middlesex,5,10,C01,ready,no,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25023510501,25023,Plymouth,6,10,C04,conditional,yes,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25005650101,25005,Bristol,7,10,C04,ready,yes,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25015822500,25015,Hampshire,8,10,C01,ready,yes,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25027730902,25027,Worcester,9,10,C01,not_ready,yes,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25017318200,25017,Middlesex,10,10,C01,conditional,no,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25025180400,25025,Suffolk,11,10,C01,ready,no,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25025000807,25025,Suffolk,12,10,C01,ready,yes,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25003900100,25003,Berkshire,13,10,C04,not_ready,no,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25005652200,25005,Bristol,14,10,C04,ready,no,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25017333100,25017,Middlesex,15,10,C01,conditional,no,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25009213100,25009,Essex,16,10,C01,ready,no,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25027757200,25027,Worcester,17,10,C04,conditional,yes,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25005642500,25005,Bristol,18,10,C01,not_ready,yes,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25023508200,25023,Plymouth,19,10,C01,ready,yes,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25025100200,25025,Suffolk,20,10,C04,not_ready,no,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25013802400,25013,Hampden,21,10,C04,ready,no,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25013812201,25013,Hampden,22,10,C04,ready,yes,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25001012900,25001,Barnstable,23,10,C01,ready,yes,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25021401202,25021,Norfolk,24,10,C04,conditional,no,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25013800202,25013,Hampden,25,10,C04,not_ready,no,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25021420301,25021,Norfolk,26,10,C04,ready,yes,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25021441204,25021,Norfolk,27,10,C01,ready,no,no,yes,yes,no,cluster cannot alter the transparent community-review comparison
25001015001,25001,Barnstable,28,10,C01,conditional,no,yes,yes,yes,no,cluster cannot alter the transparent community-review comparison
