step_id,stage,test_state,human_decision,owner,pause_condition,record,authority_limit
D01,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
D02,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
D03,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
D04,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
D05,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
D06,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
D07,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
D08,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
D09,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
D10,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
