measure_id,measure_name,numerator,denominator,observed_value,result,owner,human_response,automatic_action
M01,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,no
M02,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,no
M03,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,no
M04,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,no
M05,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,no
M06,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,no
M07,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,no
M08,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,no
M09,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,no
M10,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,no
M11,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,no
M12,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,no
M13,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,no
M14,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,no
M15,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,no
M16,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,no
M17,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,no
M18,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,no
M19,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,no
M20,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE,no
