claim_id,claim,status,evidence,required_wording,prohibited_wording
C01,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
C02,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
C03,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
C04,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
C05,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
C06,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
C07,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
C08,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
C09,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
C10,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
C11,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
C12,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
C13,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
C14,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
C15,REPLACE,REPLACE,REPLACE,REPLACE,REPLACE
