gate_id,gate,noncompensable,status,evidence,disposition
G01,REPLACE,yes,REPLACE,REPLACE,REPLACE
G02,REPLACE,yes,REPLACE,REPLACE,REPLACE
G03,REPLACE,yes,REPLACE,REPLACE,REPLACE
G04,REPLACE,yes,REPLACE,REPLACE,REPLACE
G05,REPLACE,yes,REPLACE,REPLACE,REPLACE
G06,REPLACE,yes,REPLACE,REPLACE,REPLACE
G07,REPLACE,yes,REPLACE,REPLACE,REPLACE
G08,REPLACE,yes,REPLACE,REPLACE,REPLACE
G09,REPLACE,yes,REPLACE,REPLACE,REPLACE
G10,REPLACE,yes,REPLACE,REPLACE,REPLACE
G11,REPLACE,yes,REPLACE,REPLACE,REPLACE
G12,REPLACE,yes,REPLACE,REPLACE,REPLACE
G13,REPLACE,yes,REPLACE,REPLACE,REPLACE
G14,REPLACE,yes,REPLACE,REPLACE,REPLACE
G15,REPLACE,yes,REPLACE,REPLACE,REPLACE
G16,REPLACE,yes,REPLACE,REPLACE,REPLACE
G17,REPLACE,yes,REPLACE,REPLACE,REPLACE
G18,REPLACE,yes,REPLACE,REPLACE,REPLACE
G19,REPLACE,yes,REPLACE,REPLACE,REPLACE
G20,REPLACE,yes,REPLACE,REPLACE,REPLACE
G21,REPLACE,yes,REPLACE,REPLACE,REPLACE
G22,REPLACE,yes,REPLACE,REPLACE,REPLACE
G23,REPLACE,yes,REPLACE,REPLACE,REPLACE
G24,REPLACE,yes,REPLACE,REPLACE,REPLACE
G25,REPLACE,yes,REPLACE,REPLACE,REPLACE
G26,REPLACE,yes,REPLACE,REPLACE,REPLACE
G27,REPLACE,yes,REPLACE,REPLACE,REPLACE
G28,REPLACE,yes,REPLACE,REPLACE,REPLACE
G29,REPLACE,yes,REPLACE,REPLACE,REPLACE
G30,REPLACE,yes,REPLACE,REPLACE,REPLACE
G31,REPLACE,yes,REPLACE,REPLACE,REPLACE
G32,REPLACE,yes,REPLACE,REPLACE,REPLACE
G33,REPLACE,yes,REPLACE,REPLACE,REPLACE
G34,REPLACE,yes,REPLACE,REPLACE,REPLACE
