source_id,field_order,field_name,type,nullable,definition,claim_limit
fictional-planning-layer,1,scenario_id,text,no,Fictional planning case identifier,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
fictional-planning-layer,2,synthetic_source_id,text,no,Synthetic release identifier,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
fictional-planning-layer,3,tract_fips,text,no,Accepted eleven-character tract linkage key,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
fictional-planning-layer,4,county_fips,text,no,Accepted five-character county linkage key,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
fictional-planning-layer,5,fictional_capacity_places,integer,no,Generated fictional delivery capacity in ten-place units,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
fictional-planning-layer,6,fictional_travel_minutes,integer,no,Generated one-way teaching travel assumption,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
fictional-planning-layer,7,fictional_staff_readiness,text,no,Generated staff readiness state,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
fictional-planning-layer,8,fictional_language_access_ready,integer,no,Generated language-access plan readiness flag,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
fictional-planning-layer,9,fictional_disability_access_ready,integer,no,Generated disability-access plan readiness flag,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
fictional-planning-layer,10,fictional_community_review_state,text,no,"Generated fictional review state, not real community opinion","Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
fictional-planning-layer,11,fictional_unresolved_questions,integer,no,Generated unresolved planning-question count,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
fictional-planning-layer,12,fictional_objection_state,text,no,Generated fictional objection state,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
fictional-planning-layer,13,fictional_delivery_burden_score,integer,no,Generated ordinal classroom burden assumption from one to five,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
fictional-planning-layer,14,accountable_owner,text,no,Fictional owner responsible for the teaching decision,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
fictional-planning-layer,15,generator_version,text,no,Generator semantic version,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
fictional-planning-layer,16,seed,integer,no,Declared generator seed,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
fictional-planning-layer,17,synthetic_flag,integer,no,One for every fictional row,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
fictional-planning-layer,18,claim_limit,text,no,Explicit prohibition on real community and action claims,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
rule-definitions,1,rule_id,text,no,Declared teaching rule field: rule_id,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
rule-definitions,2,rule_name,text,no,Declared teaching rule field: rule_name,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
rule-definitions,3,fairness_definition,text,no,Declared teaching rule field: fairness_definition,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
rule-definitions,4,candidate_filter,text,no,Declared teaching rule field: candidate_filter,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
rule-definitions,5,selection_order,text,no,Declared teaching rule field: selection_order,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
rule-definitions,6,tie_breaker,text,no,Declared teaching rule field: tie_breaker,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
rule-definitions,7,award_places,text,no,Declared teaching rule field: award_places,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
rule-definitions,8,base_awards,text,no,Declared teaching rule field: base_awards,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
rule-definitions,9,resource_places,text,no,Declared teaching rule field: resource_places,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
rule-definitions,10,automatic_action,text,no,Declared teaching rule field: automatic_action,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
rule-definitions,11,interpretation_limit,text,no,Declared teaching rule field: interpretation_limit,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
sensitivity-variants,1,variant_id,text,no,Predeclared sensitivity field: variant_id,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
sensitivity-variants,2,rule_id,text,no,Predeclared sensitivity field: rule_id,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
sensitivity-variants,3,variant_type,text,no,Predeclared sensitivity field: variant_type,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
sensitivity-variants,4,award_count,text,no,Predeclared sensitivity field: award_count,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
sensitivity-variants,5,parameter,text,no,Predeclared sensitivity field: parameter,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
sensitivity-variants,6,parameter_value,text,no,Predeclared sensitivity field: parameter_value,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
sensitivity-variants,7,reason,text,no,Predeclared sensitivity field: reason,"Synthetic teaching metadata only; no real need, consent, eligibility, outreach, funding, allocation, service, or authority."
