variant_id,rule_id,variant_type,parameter,parameter_value,requested_awards,actual_selected,constraint_status,retained_from_base,added_from_base,removed_from_base,selected_counties,fictional_capacity_places,limited_support_selected,language_access_gaps,disability_access_gaps,unresolved_objections,high_burden,interpretation_limit
equal_geographic-base,equal_geographic,base,base contract,declared,28,28,filled,28,0,0,14,580,1,11,9,2,6,"predeclared fictional sensitivity, not a search for a preferred answer or real action rule"
equal_geographic-half-resource,equal_geographic,resource,fictional resource places,140,14,14,filled,14,0,14,14,310,1,5,4,1,3,"predeclared fictional sensitivity, not a search for a preferred answer or real action rule"
equal_geographic-expanded-resource,equal_geographic,resource,fictional resource places,420,42,42,filled,28,14,0,14,900,1,12,11,4,14,"predeclared fictional sensitivity, not a search for a preferred answer or real action rule"
need_based-base,need_based,base,base contract,declared,28,28,filled,28,0,0,7,710,26,7,8,1,9,"predeclared fictional sensitivity, not a search for a preferred answer or real action rule"
need_based-half-resource,need_based,resource,fictional resource places,140,14,14,filled,14,0,14,5,350,14,3,4,1,6,"predeclared fictional sensitivity, not a search for a preferred answer or real action rule"
need_based-expanded-resource,need_based,resource,fictional resource places,420,42,42,filled,28,14,0,7,980,31,10,10,3,13,"predeclared fictional sensitivity, not a search for a preferred answer or real action rule"
capacity_aware-base,capacity_aware,base,base contract,declared,28,28,filled,28,0,0,8,1120,0,0,0,1,0,"predeclared fictional sensitivity, not a search for a preferred answer or real action rule"
capacity_aware-half-resource,capacity_aware,resource,fictional resource places,140,14,14,filled,14,0,14,6,560,0,0,0,1,0,"predeclared fictional sensitivity, not a search for a preferred answer or real action rule"
capacity_aware-expanded-resource,capacity_aware,resource,fictional resource places,420,42,42,filled,28,14,0,8,1680,0,0,0,1,0,"predeclared fictional sensitivity, not a search for a preferred answer or real action rule"
community_review-base,community_review,base,base contract,declared,28,28,filled,28,0,0,11,800,0,0,0,0,1,"predeclared fictional sensitivity, not a search for a preferred answer or real action rule"
community_review-half-resource,community_review,resource,fictional resource places,140,14,14,filled,14,0,14,8,450,0,0,0,0,0,"predeclared fictional sensitivity, not a search for a preferred answer or real action rule"
community_review-expanded-resource,community_review,resource,fictional resource places,420,42,38,shortfall,28,10,0,13,1050,0,0,0,0,7,"predeclared fictional sensitivity, not a search for a preferred answer or real action rule"
equal-geographic-reverse-tie,equal_geographic,tie_break,stable tie direction,reverse,28,28,filled,0,28,28,14,580,0,7,5,3,10,"predeclared fictional sensitivity, not a search for a preferred answer or real action rule"
equal-geographic-no-county-quota,equal_geographic,county_limit,county quota,none,28,28,filled,15,13,13,9,510,0,8,7,2,6,"predeclared fictional sensitivity, not a search for a preferred answer or real action rule"
need-based-lower-bound,need_based,uncertainty,need criterion,modeled lower confidence limit,28,28,filled,28,0,0,7,710,26,7,8,1,9,"predeclared fictional sensitivity, not a search for a preferred answer or real action rule"
need-based-supported-only,need_based,support,support state,supported_for_teaching_display only,28,28,filled,2,26,26,5,600,0,5,4,2,11,"predeclared fictional sensitivity, not a search for a preferred answer or real action rule"
capacity-access-ready,capacity_aware,access,access readiness,language and disability plans required,28,28,filled,28,0,0,8,1120,0,0,0,1,0,"predeclared fictional sensitivity, not a search for a preferred answer or real action rule"
capacity-minimum-20,capacity_aware,capacity,minimum fictional capacity,20,28,28,filled,28,0,0,8,1120,0,0,0,1,0,"predeclared fictional sensitivity, not a search for a preferred answer or real action rule"
community-include-revision,community_review,community_readiness,review state,ready or needs_revision,28,28,filled,19,9,9,11,840,0,0,0,0,0,"predeclared fictional sensitivity, not a search for a preferred answer or real action rule"
community-max-two-county,community_review,county_limit,maximum awards per county,2,28,26,shortfall,20,6,8,13,780,0,0,0,0,5,"predeclared fictional sensitivity, not a search for a preferred answer or real action rule"
