county_fips,county_name,tract_geometry_count,tracts_with_measure,geometry_only_tracts,places_adult_population,weighted_modeled_prevalence_percent,minimum_tract_prevalence_percent,maximum_tract_prevalence_percent,within_county_range_percentage_points,county_summary_class,summary_type,claim_limit
25001,Barnstable,57,56,1,196284,10.5608592651,4.4,14.8,10.4,10.0% to less than 15.0%,population-weighted tract teaching summary; not an official county PLACES estimate,"aggregation changes the question and can hide within-county variation; no rank, target, or action follows"
25003,Berkshire,40,40,0,106768,10.8139601753,7.4,14.3,6.9,10.0% to less than 15.0%,population-weighted tract teaching summary; not an official county PLACES estimate,"aggregation changes the question and can hide within-county variation; no rank, target, or action follows"
25005,Bristol,131,130,1,461876,10.7395653812,3.7,22,18.3,10.0% to less than 15.0%,population-weighted tract teaching summary; not an official county PLACES estimate,"aggregation changes the question and can hide within-county variation; no rank, target, or action follows"
25007,Dukes,5,4,1,17281,10.2502980152,9.5,11.1,1.6,10.0% to less than 15.0%,population-weighted tract teaching summary; not an official county PLACES estimate,"aggregation changes the question and can hide within-county variation; no rank, target, or action follows"
25009,Essex,174,173,1,640842,10.3005107343,5,22.1,17.1,10.0% to less than 15.0%,population-weighted tract teaching summary; not an official county PLACES estimate,"aggregation changes the question and can hide within-county variation; no rank, target, or action follows"
25011,Franklin,19,19,0,58799,10.6293610436,8.7,13.9,5.2,10.0% to less than 15.0%,population-weighted tract teaching summary; not an official county PLACES estimate,"aggregation changes the question and can hide within-county variation; no rank, target, or action follows"
25013,Hampden,104,104,0,367439,12.3289092883,1.1,24.7,23.6,10.0% to less than 15.0%,population-weighted tract teaching summary; not an official county PLACES estimate,"aggregation changes the question and can hide within-county variation; no rank, target, or action follows"
25015,Hampshire,35,35,0,138414,8.2264330198,0.7,12.9,12.2,5.0% to less than 10.0%,population-weighted tract teaching summary; not an official county PLACES estimate,"aggregation changes the question and can hide within-county variation; no rank, target, or action follows"
25017,Middlesex,357,354,3,1313737,8.3479943094,1.9,15.1,13.2,5.0% to less than 10.0%,population-weighted tract teaching summary; not an official county PLACES estimate,"aggregation changes the question and can hide within-county variation; no rank, target, or action follows"
25019,Nantucket,7,6,1,11552,8.0628895429,6.8,10.3,3.5,5.0% to less than 10.0%,population-weighted tract teaching summary; not an official county PLACES estimate,"aggregation changes the question and can hide within-county variation; no rank, target, or action follows"
25021,Norfolk,154,153,1,577331,9.0041773264,5.6,19,13.4,5.0% to less than 10.0%,population-weighted tract teaching summary; not an official county PLACES estimate,"aggregation changes the question and can hide within-county variation; no rank, target, or action follows"
25023,Plymouth,111,110,1,419524,10.290724011,0.9,21.4,20.5,10.0% to less than 15.0%,population-weighted tract teaching summary; not an official county PLACES estimate,"aggregation changes the question and can hide within-county variation; no rank, target, or action follows"
25025,Suffolk,235,222,13,670238,8.8847293051,1.5,30.5,29,5.0% to less than 10.0%,population-weighted tract teaching summary; not an official county PLACES estimate,"aggregation changes the question and can hide within-county variation; no rank, target, or action follows"
25027,Worcester,191,191,0,683585,10.3497240285,1.3,18.7,17.4,10.0% to less than 15.0%,population-weighted tract teaching summary; not an official county PLACES estimate,"aggregation changes the question and can hide within-county variation; no rank, target, or action follows"
