tract_fips,county_fips,county_name,measure_year,measure_id,data_value_type_id,modeled_crude_prevalence_percent,modeled_low_confidence_limit,modeled_high_confidence_limit,interval_width_percentage_points,places_adult_population_field,source_release,estimate_type,map_class,support_state,claim_limit
25001010100,25001,Barnstable,2023,DIABETES,CrdPrv,12.1,10.2,14.3,4.1,3489,CDC PLACES 2025 census-tract release,modeled small-area prevalence,10.0% to less than 15.0%,limited_support_review,"public modeled small-area estimate; not observed cases, individual risk, a disparity, or an action rule"
25001010206,25001,Barnstable,2023,DIABETES,CrdPrv,10.8,9.2,12.7,3.5,3172,CDC PLACES 2025 census-tract release,modeled small-area prevalence,10.0% to less than 15.0%,supported_for_teaching_display,"public modeled small-area estimate; not observed cases, individual risk, a disparity, or an action rule"
25001010208,25001,Barnstable,2023,DIABETES,CrdPrv,11.3,9.6,13.1,3.5,2206,CDC PLACES 2025 census-tract release,modeled small-area prevalence,10.0% to less than 15.0%,supported_for_teaching_display,"public modeled small-area estimate; not observed cases, individual risk, a disparity, or an action rule"
25001010304,25001,Barnstable,2023,DIABETES,CrdPrv,11.2,9.6,13.1,3.5,2399,CDC PLACES 2025 census-tract release,modeled small-area prevalence,10.0% to less than 15.0%,supported_for_teaching_display,"public modeled small-area estimate; not observed cases, individual risk, a disparity, or an action rule"
25001010306,25001,Barnstable,2023,DIABETES,CrdPrv,12.1,10.2,13.9,3.7,2701,CDC PLACES 2025 census-tract release,modeled small-area prevalence,10.0% to less than 15.0%,supported_for_teaching_display,"public modeled small-area estimate; not observed cases, individual risk, a disparity, or an action rule"
25001010400,25001,Barnstable,2023,DIABETES,CrdPrv,12,10.2,13.9,3.7,2975,CDC PLACES 2025 census-tract release,modeled small-area prevalence,10.0% to less than 15.0%,supported_for_teaching_display,"public modeled small-area estimate; not observed cases, individual risk, a disparity, or an action rule"
25001010500,25001,Barnstable,2023,DIABETES,CrdPrv,10.8,9,12.8,3.8,2691,CDC PLACES 2025 census-tract release,modeled small-area prevalence,10.0% to less than 15.0%,supported_for_teaching_display,"public modeled small-area estimate; not observed cases, individual risk, a disparity, or an action rule"
25001010600,25001,Barnstable,2023,DIABETES,CrdPrv,11.8,10.2,13.7,3.5,2870,CDC PLACES 2025 census-tract release,modeled small-area prevalence,10.0% to less than 15.0%,supported_for_teaching_display,"public modeled small-area estimate; not observed cases, individual risk, a disparity, or an action rule"
25001010700,25001,Barnstable,2023,DIABETES,CrdPrv,11.1,9.5,12.8,3.3,3114,CDC PLACES 2025 census-tract release,modeled small-area prevalence,10.0% to less than 15.0%,supported_for_teaching_display,"public modeled small-area estimate; not observed cases, individual risk, a disparity, or an action rule"
25001010800,25001,Barnstable,2023,DIABETES,CrdPrv,10.7,9.2,12.6,3.4,4260,CDC PLACES 2025 census-tract release,modeled small-area prevalence,10.0% to less than 15.0%,supported_for_teaching_display,"public modeled small-area estimate; not observed cases, individual risk, a disparity, or an action rule"
25001010900,25001,Barnstable,2023,DIABETES,CrdPrv,11,9.3,13,3.7,4626,CDC PLACES 2025 census-tract release,modeled small-area prevalence,10.0% to less than 15.0%,supported_for_teaching_display,"public modeled small-area estimate; not observed cases, individual risk, a disparity, or an action rule"
25001011002,25001,Barnstable,2023,DIABETES,CrdPrv,10.3,8.9,12,3.1,3924,CDC PLACES 2025 census-tract release,modeled small-area prevalence,10.0% to less than 15.0%,supported_for_teaching_display,"public modeled small-area estimate; not observed cases, individual risk, a disparity, or an action rule"
25001011100,25001,Barnstable,2023,DIABETES,CrdPrv,10.3,8.7,12,3.3,4326,CDC PLACES 2025 census-tract release,modeled small-area prevalence,10.0% to less than 15.0%,supported_for_teaching_display,"public modeled small-area estimate; not observed cases, individual risk, a disparity, or an action rule"
25001011200,25001,Barnstable,2023,DIABETES,CrdPrv,10.6,9.1,12.2,3.1,3334,CDC PLACES 2025 census-tract release,modeled small-area prevalence,10.0% to less than 15.0%,supported_for_teaching_display,"public modeled small-area estimate; not observed cases, individual risk, a disparity, or an action rule"
25001011300,25001,Barnstable,2023,DIABETES,CrdPrv,11.1,9.4,13.2,3.8,2336,CDC PLACES 2025 census-tract release,modeled small-area prevalence,10.0% to less than 15.0%,supported_for_teaching_display,"public modeled small-area estimate; not observed cases, individual risk, a disparity, or an action rule"
25001011400,25001,Barnstable,2023,DIABETES,CrdPrv,11.8,10,13.6,3.6,2772,CDC PLACES 2025 census-tract release,modeled small-area prevalence,10.0% to less than 15.0%,supported_for_teaching_display,"public modeled small-area estimate; not observed cases, individual risk, a disparity, or an action rule"
25001011500,25001,Barnstable,2023,DIABETES,CrdPrv,11.3,9.6,13,3.4,3545,CDC PLACES 2025 census-tract release,modeled small-area prevalence,10.0% to less than 15.0%,supported_for_teaching_display,"public modeled small-area estimate; not observed cases, individual risk, a disparity, or an action rule"
25001011600,25001,Barnstable,2023,DIABETES,CrdPrv,10.8,9.2,12.6,3.4,2626,CDC PLACES 2025 census-tract release,modeled small-area prevalence,10.0% to less than 15.0%,supported_for_teaching_display,"public modeled small-area estimate; not observed cases, individual risk, a disparity, or an action rule"
25001011700,25001,Barnstable,2023,DIABETES,CrdPrv,11.4,9.7,13.3,3.6,1775,CDC PLACES 2025 census-tract release,modeled small-area prevalence,10.0% to less than 15.0%,supported_for_teaching_display,"public modeled small-area estimate; not observed cases, individual risk, a disparity, or an action rule"
25001011801,25001,Barnstable,2023,DIABETES,CrdPrv,11.2,9.3,13.5,4.2,2284,CDC PLACES 2025 census-tract release,modeled small-area prevalence,10.0% to less than 15.0%,limited_support_review,"public modeled small-area estimate; not observed cases, individual risk, a disparity, or an action rule"
25001011802,25001,Barnstable,2023,DIABETES,CrdPrv,10.1,8.6,11.7,3.1,3770,CDC PLACES 2025 census-tract release,modeled small-area prevalence,10.0% to less than 15.0%,supported_for_teaching_display,"public modeled small-area estimate; not observed cases, individual risk, a disparity, or an action rule"
25001012001,25001,Barnstable,2023,DIABETES,CrdPrv,11.1,9.4,13.1,3.7,5202,CDC PLACES 2025 census-tract release,modeled small-area prevalence,10.0% to less than 15.0%,supported_for_teaching_display,"public modeled small-area estimate; not observed cases, individual risk, a disparity, or an action rule"
25001012002,25001,Barnstable,2023,DIABETES,CrdPrv,11.9,10.1,13.8,3.7,2755,CDC PLACES 2025 census-tract release,modeled small-area prevalence,10.0% to less than 15.0%,supported_for_teaching_display,"public modeled small-area estimate; not observed cases, individual risk, a disparity, or an action rule"
25001012101,25001,Barnstable,2023,DIABETES,CrdPrv,10.1,8.7,11.7,3,4566,CDC PLACES 2025 census-tract release,modeled small-area prevalence,10.0% to less than 15.0%,supported_for_teaching_display,"public modeled small-area estimate; not observed cases, individual risk, a disparity, or an action rule"
