relative_path,bytes,sha256,source_module,source_version,role
candidate/module-01/.gitattributes,107,db2b48943c72f7b44d8e135dca50e1c3fbacc6e9a6f34c7a2f2dc7e04eb682d3,oclc-app5-01,0.1.0,accepted reference workspace artifact
candidate/module-01/VERSION,6,e9dd8507f4bf0c6f42458e41aea833ad0bd3f6127272335eee9bf4d58541ed67,oclc-app5-01,0.1.0,accepted reference workspace artifact
candidate/module-01/ai-use.md,1067,cad8b3f3d0e792b66d4e6f6c4458c8f6cc69e4efff944c4fa41dabd62574009c,oclc-app5-01,0.1.0,accepted reference workspace artifact
candidate/module-01/assessment.md,2986,064d25a6e0aa3def4ccdd7dc84b7125d17fa79a273e5e07e84c0ae79191e6638,oclc-app5-01,0.1.0,accepted reference workspace artifact
candidate/module-01/claim-boundary.csv,2908,f8b83391c1551bbb767cfee23401fe7a56917133d997321236a669a26ce15579,oclc-app5-01,0.1.0,accepted reference workspace artifact
candidate/module-01/community-accountability-map.csv,2955,7ce7223bbf3ba76ac5ebcf8adb0810ac855871f90b27f4a2bed9cee8e87daa46,oclc-app5-01,0.1.0,accepted reference workspace artifact
candidate/module-01/data-spec.md,4883,5029c8e325f59ab0c3b6f620f22ccecf7f16c7c9415ec40477e1e6f2fd1e6c46,oclc-app5-01,0.1.0,accepted reference workspace artifact
candidate/module-01/data/acs-b01001-ma-tract-2024.csv,576420,bca33aebaa0a9e418d6a5343818aebc1e8b1dc2d355156419e5693d1907fa419,oclc-app5-01,0.1.0,accepted reference workspace artifact
candidate/module-01/data/field-inventory.csv,39768,d65fb0bbde925e17e2b94ee362e43c1320d4f10467241f77cd260f50329854f7,oclc-app5-01,0.1.0,accepted reference workspace artifact
candidate/module-01/data/join-feasibility.csv,524,2fc7811fc1f6350fb65581a5d946d073039b05a72006a9dd30ad829005cde1e6,oclc-app5-01,0.1.0,accepted reference workspace artifact
candidate/module-01/data/places-diabetes-ma-tract-2025.csv,356204,3d55a099be438999fd52b1e34f13589dcf3e260162c56967fa01fb0a80135846,oclc-app5-01,0.1.0,accepted reference workspace artifact
